SimpleRhythms1_16,1/1-16,2/1-16,3/1-16,4/1-16,6/1-16,8/1-16,12/1-16,16/1-16
SimpleRhythms2_16,1/2-16,2/2-16,3/2-16,4/2-16,6/2-16,8/2-16,12/2-16,16/2-16
SimpleRhythms3_16,1/3-16,2/3-16,3/3-16,4/3-16,6/3-16,8/3-16,12/3-16,16/3-16
SimpleRhythms4_16,1/4-16,2/4-16,3/4-16,4/4-16,6/4-16,8/4-16,12/4-16,16/4-16
SimpleRhythms5_16,1/6-16,2/6-16,3/6-16,4/6-16,6/6-16,8/6-16,12/6-16,16/6-16
SimpleRhythms6_16,1/8-16,2/8-16,3/8-16,4/8-16,6/8-16,8/8-16,12/8-16,16/8-16
SimpleRhythms7_16,1/12-16,2/12-16,3/12-16,4/12-16,6/12-16,8/12-16,12/12-16,16/12-16
SimpleRhythms8_16,1/16-16,2/16-16,3/16-16,4/16-16,6/16-16,8/16-16,12/16-16,16/16-16
