h73-75-BPwide1,1/1,5/4,7/5
h73-75-BPwide2,1/1,7/5,7/4
h73-75-BPwide3,1/1,3/2,7/4
h73-75-BPwide4,1/1,3/2,12/7
h73-75-BPwide5,1/1,7/6,7/4
h73-75-BPwide6,1/1,7/6,4/3
h73-75-BPwide7,1/1,7/6,3/2
h73-75-BPwide8,1/1,8/7,3/2
h73-75-BPwide9,1/1,9/7,12/7
h73-75-BPwide10,1/1,4/3,14/9
h73-75-BPwide11,1/1,5/3,7/3
h73-75-BPwide12,1/1,21/15,7/3
h73-75-BPwide13,1/1,7/5,9/5
h73-75-BPwide14,1/1,5/3,8/3
h73-75-BPwide15,1/1,9/7,15/7
h73-75-BPwide16,1/1,9/7,63/35
