harmSubharm,on,0,0
harmSubharmfullspan,off,0,0
modal5primefullspan,off,0,0
harmFolded4,on,0,0
polyResets,off,0,0
pentamodal5prime,on,0,0
triads,on,0,0
seventhTetradsMinimalProgression,on,0,0
seventhTetrads,on,0,0
rhythmDivisionsReset,off,0,0
modesOfLimitedTransposition,on,0,0
majMin9thPentStarling,on,0,0
Harm73_75,on,0,0
h73_75_BPwide,on,0,0
bohlenPeirce,off,0,0
add9thSixthsusp4th,on,0,0
