rhythmDivisionsReset1,2/1-1,3/1-1,4/1-1,5/1-1,6/1-1,8/1-1,10/1-1,12/1-1
rhythmDivisionsReset2,2/1-2,3/1-2,4/1-2,5/1-2,6/1-2,8/1-2,10/1-2,12/1-2
rhythmDivisionsReset3,2/1-3,3/1-3,4/1-3,5/1-3,6/1-3,8/1-3,10/1-3,12/1-3
rhythmDivisionsReset4,2/1-4,3/1-4,4/1-4,5/1-4,6/1-4,8/1-4,10/1-4,12/1-4
rhythmDivisionsReset5,2/1-5,3/1-5,4/1-5,5/1-5,6/1-5,8/1-5,10/1-5,12/1-5
rhythmDivisionsReset6,2/1-6,3/1-6,4/1-6,5/1-6,6/1-6,8/1-6,10/1-6,12/1-6
rhythmDivisionsReset7,2/1-7,3/1-7,4/1-7,5/1-7,6/1-7,8/1-7,10/1-7,12/1-7
rhythmDivisionsReset8,2/1-8,3/1-8,4/1-8,5/1-8,6/1-8,8/1-8,10/1-8,12/1-8
