majpenta5primefullspan,1/1,9/8,5/4,3/2,5/3,2/1,9/4,5/2,6/2
maj2min75primefullspan,1/1,9/8,4/3,5/3,15/8,2/1,9/4,8/3,10/3
maj3dom75primefullspan,1/1,9/8,5/4,8/5,15/8,2/1,9/4,5/2,16/5
subdompenta5primefullspan,1/1,9/8,4/3,3/2,5/3,2/1,9/4,8/3,6/2
dompenta5primefullspan,1/1,9/8,4/3,3/2,15/8,2/1,9/4,8/3,6/2
relmin75primefullspan,1/1,5/4,3/2,5/4,15/8,2/1,5/2,6/2,5/2
dim75primefullspan,9/8,4/3,8/5,5/4,15/8,2/1,8/3,16/5,5/2
majmaj75primefullspan,1/1,5/4,3/2,15/8,15/8,2/1,5/2,6/2,15/4
