808kick16bitRMSAtk,0,7,13,20,26,33,41,51,62,77,94,115,142,172,208,250,298,355,422,496,584,685,799,927,1066,1220,1388,1566,1756,1958,2169,2388,2617,2851,3092,3339,3589,3844,4100,4359,4621,4882,5144,5405,5663,5921,6175,6426,6674,6917,7157,7394,7626,7858,8086,8310,8533,8753,8967,9180,9388,9593,9793,9988,10178,10363,10540,10713,10878,11034,11185,11327,11460,11586,11702,11810,11908,11996,12076,12146,12207,12260,12304,12339,12369,12392,12408,12420,12428,12433,12435,12434,12434,12433,12432,12434,12439,12446,12458,12476,12499,12530,12569,12614,12668,12730,12801,12880,12968,13064,13170,13284,13407,13540,13680,13829,13986,14150,14322,14499,14683,14874,15068,15267,15471,15677,15886,16098,16311,16525,16741,16956,17172,17387,17602,17816,18028,18240,18449,18655,18860,19063,19263,19461,19656,19850,20041,20228,20415,20600,20781,20960,21136,21308,21478,21643,21806,21963,22115,22263,22404,22538,22666,22786,22898,23003,23099,23186,23266,23336,23400,23455,23501,23542,23575,23601,23622,23638,23649,23657,23663,23665,23668,23671,23675,23682,23691,23706,23726,23751,23785,23826,23874,23931,23997,24071,24155,24247,24348,24457,24573,24699,24832,24972,25120,25274,25433,25598,25768,25942,26120,26301,26484,26670,26856,27045,27234,27424,27614,27805,27995,28186,28376,28565,28754,28941,29128,29313,29494,29676,29855,30030,30204,30375,30541,30704,30863,31018,31168,31314,31455,31591,31720,31844,31960,32069,32171,32265,32350,32429,32499,32562,32617,32664,32705,32739,32767
808kick16bitRMSRls,0,11,25,40,55,71,90,112,133,154,176,202,228,254,278,305,333,361,387,411,437,463,489,515,541,568,597,625,652,680,710,741,770,800,831,864,897,929,962,997,1034,1070,1105,1142,1182,1222,1262,1301,1343,1388,1433,1477,1522,1570,1621,1671,1719,1771,1826,1883,1938,1993,2051,2115,2177,2238,2300,2367,2438,2507,2574,2645,2722,2801,2877,2952,3033,3120,3207,3290,3376,3468,3567,3662,3755,3852,3958,4067,4172,4276,4387,4508,4628,4743,4861,4989,5124,5256,5384,5518,5664,5815,5960,6103,6256,6422,6589,6748,6909,7085,7273,7455,7632,7816,8018,8227,8427,8625,8836,9066,9297,9517,9741,9984,10243,10497,10742,10997,11277,11568,11848,12124,12418,12739,13063,13375,13690,14031,14394,14753,15099,15457,15842,16240,16624,16998,17386,17796,18204,18588,18963,19350,19745,20124,20472,20810,21152,21490,21799,22075,22338,22600,22847,23062,23244,23415,23582,23734,23854,23946,24032,24122,24198,24249,24276,24307,24354,24392,24405,24400,24415,24461,24494,24499,24493,24526,24600,24653,24671,24686,24762,24884,24970,25014,25067,25197,25376,25503,25585,25684,25872,26108,26291,26424,26582,26825,27113,27349,27539,27748,28023,28341,28608,28853,29109,29398,29722,29994,30282,30563,30853,31137,31369,31628,31836,32092,32273,32393,32504,32584,32741,32767,32748,32667,32599,32540,32413,32273,32074,31918,31811,31735,31651,31557,31495,31482,31516,31566,31600,31664,31752,31894,32070,32226,32406,32559,32752
CLA76_1_16bitRMSAtk,0,40,99,181,285,411,560,729,918,1123,1342,1571,1807,2047,2287,2523,2755,2979,3194,3401,3598,3785,3961,4130,4290,4443,4591,4736,4880,5028,5177,5332,5496,5665,5843,6028,6219,6414,6613,6814,7011,7205,7393,7574,7745,7906,8059,8202,8335,8464,8587,8707,8828,8950,9078,9213,9354,9503,9662,9829,10000,10177,10356,10536,10715,10889,11061,11225,11382,11532,11675,11811,11940,12066,12189,12311,12433,12557,12685,12820,12959,13105,13258,13416,13580,13748,13917,14087,14255,14421,14581,14733,14878,15015,15144,15265,15380,15489,15595,15700,15805,15913,16026,16143,16268,16401,16539,16683,16834,16989,17145,17302,17457,17609,17757,17898,18035,18165,18288,18407,18520,18629,18736,18842,18950,19060,19172,19289,19412,19542,19676,19816,19961,20108,20256,20405,20553,20697,20836,20970,21096,21215,21326,21432,21532,21627,21720,21811,21904,22000,22100,22204,22316,22433,22556,22685,22817,22953,23091,23230,23366,23499,23627,23752,23871,23984,24093,24196,24295,24392,24486,24580,24675,24771,24872,24977,25085,25199,25319,25443,25571,25701,25832,25964,26094,26220,26343,26459,26570,26675,26773,26865,26952,27036,27118,27199,27281,27365,27454,27548,27647,27751,27861,27975,28094,28215,28337,28458,28578,28697,28811,28920,29023,29123,29218,29309,29396,29481,29564,29648,29732,29818,29908,30001,30098,30201,30306,30416,30530,30646,30762,30878,30993,31105,31214,31318,31419,31516,31608,31698,31784,31865,31941,32012,32079,32142,32201,32258,32314,32370,32425,32481,32539,32596,32654,32711,32767
CLA76_1_16bitRMSRls,0,12,26,42,58,76,95,115,137,160,183,207,231,257,282,308,334,359,384,408,432,457,483,508,533,558,583,609,636,663,690,717,744,772,800,830,859,889,918,948,979,1011,1044,1077,1109,1142,1175,1210,1246,1282,1318,1354,1390,1427,1466,1505,1545,1584,1623,1663,1705,1747,1790,1833,1876,1919,1962,2008,2054,2101,2147,2193,2239,2286,2335,2385,2435,2484,2533,2582,2633,2686,2739,2791,2843,2895,2947,3002,3058,3115,3170,3225,3280,3338,3397,3458,3518,3578,3637,3697,3760,3825,3891,3956,4020,4085,4151,4221,4292,4363,4433,4502,4572,4644,4718,4794,4869,4943,5015,5089,5165,5243,5322,5398,5473,5548,5624,5703,5784,5864,5942,6018,6095,6175,6257,6341,6424,6504,6585,6667,6753,6842,6932,7021,7108,7196,7288,7384,7483,7582,7680,7777,7876,7980,8089,8199,8309,8418,8527,8640,8758,8881,9005,9129,9251,9376,9506,9642,9782,9922,10060,10198,10338,10484,10636,10788,10939,11087,11234,11384,11539,11698,11855,12007,12156,12303,12454,12609,12765,12917,13063,13206,13351,13500,13654,13808,13958,14104,14250,14402,14561,14725,14890,15051,15211,15375,15548,15730,15918,16104,16289,16476,16670,16876,17092,17311,17529,17746,17968,18202,18450,18706,18965,19224,19487,19760,20049,20353,20666,20979,21289,21603,21930,22275,22635,23004,23377,23761,24176,24627,25112,25623,26152,26688,27228,27768,28308,28845,29373,29884,30372,30834,31272,31688,32079,32441,32767
CLA76_CLA2A_1_16bitRMSAtk,0,34,84,154,244,354,483,631,795,973,1161,1355,1553,1753,1949,2143,2330,2511,2688,2860,3036,3215,3398,3584,3771,3959,4146,4329,4509,4684,4854,5019,5179,5336,5491,5645,5799,5952,6110,6272,6440,6613,6789,6971,7156,7342,7527,7710,7890,8067,8237,8403,8562,8718,8872,9021,9172,9320,9473,9627,9785,9947,10112,10281,10451,10622,10793,10961,11125,11286,11442,11594,11741,11885,12027,12166,12306,12446,12590,12738,12888,13045,13206,13372,13541,13710,13881,14049,14215,14377,14534,14687,14836,14980,15121,15259,15396,15535,15674,15816,15959,16107,16259,16413,16569,16726,16882,17036,17188,17336,17479,17619,17755,17887,18018,18145,18274,18404,18535,18670,18809,18953,19101,19253,19408,19565,19722,19878,20032,20182,20328,20470,20608,20740,20871,20998,21126,21253,21379,21510,21642,21778,21917,22058,22202,22346,22490,22632,22772,22909,23042,23171,23297,23418,23539,23658,23777,23896,24015,24139,24266,24398,24534,24673,24815,24959,25103,25247,25388,25527,25662,25793,25920,26042,26163,26281,26397,26514,26631,26751,26873,26997,27125,27255,27388,27521,27654,27786,27916,28042,28166,28285,28402,28514,28625,28735,28843,28953,29064,29179,29297,29420,29547,29678,29811,29945,30078,30209,30336,30456,30571,30677,30777,30871,30959,31043,31124,31205,31288,31373,31461,31553,31649,31746,31842,31936,32026,32108,32182,32245,32297,32338,32370,32394,32411,32424,32433,32443,32457,32476,32499,32524,32551,32577,32600,32620,32636,32648,32657,32663,32668,32673,32681,32695,32712,32737,32767
CLA76_CLA2A_1_16bitRMSRls,0,56,119,187,261,341,427,519,617,720,828,940,1054,1170,1287,1404,1520,1636,1750,1862,1976,2091,2206,2321,2435,2548,2660,2772,2884,2998,3114,3231,3349,3467,3584,3700,3814,3927,4040,4153,4269,4386,4504,4623,4741,4857,4972,5085,5196,5308,5422,5536,5653,5771,5889,6006,6121,6234,6345,6455,6566,6679,6795,6912,7031,7150,7268,7384,7498,7611,7724,7838,7955,8074,8194,8315,8434,8550,8663,8773,8880,8987,9094,9203,9312,9422,9529,9633,9732,9827,9918,10008,10097,10188,10281,10375,10471,10565,10656,10745,10831,10916,11002,11089,11180,11274,11370,11467,11561,11653,11741,11826,11910,11994,12081,12171,12263,12356,12448,12537,12621,12702,12781,12859,12940,13024,13111,13201,13292,13381,13467,13549,13628,13706,13784,13865,13949,14035,14122,14208,14291,14368,14441,14509,14576,14644,14713,14786,14861,14936,15008,15077,15140,15200,15259,15318,15381,15447,15519,15593,15667,15740,15808,15874,15937,16001,16067,16139,16216,16299,16385,16472,16558,16643,16727,16813,16904,17001,17106,17218,17336,17457,17579,17699,17817,17934,18053,18175,18302,18434,18569,18705,18837,18962,19080,19190,19293,19394,19494,19596,19699,19802,19902,19998,20087,20170,20249,20328,20410,20499,20595,20697,20804,20911,21018,21121,21223,21325,21432,21544,21667,21800,21945,22100,22263,22435,22617,22812,23027,23265,23528,23818,24132,24468,24821,25186,25563,25948,26347,26763,27195,27638,28089,28543,28994,29437,29865,30273,30658,31017,31349,31654,31931,32182,32405,32600,32767
piano16bitRMSAtk,0,172,356,546,713,878,1061,1256,1461,1680,1915,2163,2419,2682,2947,3210,3467,3713,3941,4149,4335,4507,4695,4862,5013,5180,5362,5548,5737,5942,6166,6398,6635,6876,7117,7350,7581,7802,8017,8215,8404,8610,8802,8981,9177,9391,9610,9837,10073,10324,10584,10848,11112,11372,11623,11862,12084,12288,12465,12630,12818,12991,13145,13310,13496,13692,13902,14123,14358,14604,14857,15113,15366,15611,15851,16077,16287,16474,16647,16837,17016,17174,17332,17508,17691,17882,18076,18279,18485,18694,18900,19102,19297,19486,19656,19805,19931,20043,20172,20296,20399,20499,20622,20757,20903,21054,21217,21389,21565,21742,21919,22091,22261,22419,22561,22688,22806,22931,23045,23139,23223,23324,23434,23555,23677,23810,23954,24108,24264,24419,24564,24707,24839,24953,25048,25131,25223,25312,25381,25436,25511,25601,25705,25816,25938,26073,26219,26371,26524,26671,26817,26959,27089,27203,27308,27421,27530,27621,27694,27782,27877,27979,28083,28190,28304,28426,28550,28673,28789,28903,29010,29105,29183,29250,29317,29385,29442,29477,29525,29582,29647,29714,29786,29869,29961,30061,30165,30270,30380,30487,30582,30663,30737,30810,30879,30936,30964,31000,31043,31093,31143,31196,31257,31327,31401,31478,31556,31639,31720,31783,31831,31871,31908,31942,31970,31970,31976,31987,32003,32020,32040,32070,32108,32156,32209,32269,32339,32410,32463,32499,32527,32552,32569,32573,32545,32520,32503,32495,32491,32497,32511,32534,32566,32601,32634,32670,32708,32733,32735,32719,32702,32695,32706,32713,32721,32737,32767
piano16bitRMSRls,16,14,14,11,10,7,7,4,3,1,1,0,0,0,2,3,6,10,16,23,28,38,48,59,68,83,96,111,124,141,157,175,192,212,231,249,268,289,308,326,348,369,389,408,432,452,474,494,520,542,567,593,623,649,680,712,748,779,814,855,897,936,978,1029,1079,1127,1179,1241,1298,1358,1424,1499,1564,1638,1718,1807,1886,1972,2068,2172,2264,2363,2477,2595,2701,2816,2949,3078,3200,3333,3484,3622,3765,3920,4091,4246,4411,4592,4791,4968,5156,5364,5589,5787,5998,6238,6487,6709,6950,7227,7497,7763,8047,8363,8664,8975,9300,9657,9993,10331,10681,11063,11412,11755,12115,12498,12836,13166,13521,13878,14191,14494,14821,15130,15405,15663,15948,16198,16416,16617,16858,17047,17204,17355,17547,17683,17791,17917,18065,18155,18233,18342,18449,18520,18581,18676,18763,18830,18888,18995,19079,19148,19213,19335,19420,19492,19570,19697,19782,19860,19959,20083,20172,20253,20366,20488,20588,20670,20800,20924,21027,21119,21271,21394,21497,21597,21759,21880,21985,22107,22276,22399,22517,22665,22835,22971,23095,23259,23431,23580,23715,23909,24086,24243,24393,24608,24791,24954,25122,25353,25537,25703,25893,26121,26303,26472,26672,26895,27083,27246,27459,27673,27856,28021,28249,28450,28621,28781,29010,29202,29361,29528,29754,29928,30079,30251,30461,30630,30766,30927,31100,31257,31378,31526,31681,31812,31899,32020,32145,32242,32306,32404,32497,32570,32624,32699,32767
bassplck16bitRMSAtk,0,148,303,464,630,791,949,1104,1257,1406,1538,1643,1737,1829,1924,2018,2107,2206,2318,2439,2583,2762,2972,3202,3441,3688,3949,4225,4502,4778,5058,5354,5662,5979,6293,6606,6916,7221,7519,7805,8076,8326,8563,8779,8973,9142,9284,9414,9552,9689,9818,9938,10057,10187,10312,10411,10484,10546,10605,10668,10727,10791,10870,10961,11065,11193,11349,11526,11714,11909,12111,12326,12551,12771,12993,13221,13461,13711,13964,14215,14464,14711,14954,15189,15414,15626,15821,16005,16172,16320,16446,16552,16658,16772,16881,16984,17079,17183,17290,17384,17454,17513,17565,17615,17667,17717,17776,17846,17925,18015,18129,18263,18413,18569,18731,18900,19080,19262,19442,19624,19814,20014,20220,20426,20630,20832,21032,21228,21417,21596,21762,21920,22066,22197,22311,22409,22498,22592,22687,22776,22859,22941,23029,23115,23184,23237,23283,23325,23367,23409,23451,23502,23563,23631,23713,23814,23931,24057,24188,24323,24468,24619,24769,24919,25071,25232,25400,25572,25742,25911,26080,26247,26409,26565,26712,26849,26978,27096,27202,27293,27370,27448,27528,27606,27679,27748,27818,27894,27963,28014,28056,28092,28127,28164,28197,28234,28279,28331,28389,28463,28552,28653,28759,28869,28984,29108,29234,29358,29484,29616,29755,29899,30044,30188,30331,30473,30613,30749,30879,31000,31114,31221,31317,31402,31475,31539,31606,31674,31740,31802,31860,31924,31987,32041,32090,32135,32178,32217,32252,32284,32315,32341,32361,32383,32410,32443,32477,32508,32537,32567,32597,32628,32658,32687,32716,32742,32767
bassplck16bitRMSRls,0,6,14,22,31,41,51,62,74,86,99,112,125,139,153,167,181,195,208,221,234,247,260,273,286,299,312,324,337,350,363,375,388,401,413,426,439,452,464,478,492,505,519,533,546,561,576,590,605,621,635,650,666,680,695,711,726,741,756,771,786,801,817,832,847,863,878,893,910,927,942,960,977,993,1012,1030,1046,1065,1084,1101,1120,1140,1158,1176,1196,1214,1233,1252,1271,1289,1309,1328,1347,1366,1387,1406,1426,1448,1469,1489,1512,1534,1555,1579,1603,1624,1648,1673,1696,1720,1746,1769,1794,1820,1844,1868,1894,1919,1943,1969,1994,2019,2045,2072,2098,2124,2153,2181,2208,2238,2268,2296,2327,2359,2388,2420,2453,2483,2515,2549,2580,2612,2646,2677,2709,2741,2772,2803,2834,2866,2897,2928,2963,2997,3030,3069,3109,3146,3192,3239,3284,3338,3395,3450,3514,3582,3649,3724,3807,3887,3976,4071,4166,4270,4379,4491,4608,4730,4859,4991,5126,5272,5421,5569,5732,5898,6061,6241,6424,6603,6798,6998,7191,7400,7616,7824,8046,8278,8500,8735,8976,9213,9459,9712,9965,10222,10488,10760,11037,11315,11609,11907,12200,12520,12842,13157,13501,13852,14189,14556,14934,15296,15685,16091,16479,16891,17322,17735,18172,18619,19060,19516,19984,20455,20932,21423,21928,22460,23025,23614,24225,24852,25488,26129,26763,27392,28017,28614,29194,29763,30289,30786,31266,31693,32083,32454,32767
